source_index,id,text_anonymized,true_label,predicted_label,error_category_initial
775,1236937583118168066,на каждом шагу мне врешь,negative,neutral,неоднозначность или спорная разметка
2309,1298805173549240321,знакомая с эстонии уже посмотрела довод и сказала что некоторые сцены снимали у них😭,negative,neutral,неоднозначность или спорная разметка
2056,1215267338213302274,"<USER> та нет, много есть. как-то не хочется читать почему.",negative,neutral,отрицание
128,1305961369213304834,<USER> а надо было как серб перед трампом ?,negative,neutral,зависимость от внешнего контекста
1483,1266814449358385153,"<USER> какой-то кооператив пиндоский сделал мокшанский роскосмос, уже навсегда...",negative,neutral,нестандартная орфография
1293,1337316379498835971,реву. <URL>,negative,neutral,зависимость от внешнего контекста
2226,1338580106483294208,"<USER> кто ты, если на тебя даже гнойный подписан? с ним затусуй лол",negative,neutral,ирония или сарказм
1107,1297601366328827904,тоби и курама софтятся конец света близок да,negative,neutral,неоднозначность или спорная разметка
2489,1271552532305915907,на улице кто-то орет. это арми?,negative,neutral,неоднозначность или спорная разметка
184,1270763126561087489,<USER> мы никогда не найдем ответ на этот вопрос... ...потому что это от начала до конца наглая ложь!,negative,neutral,отрицание
2034,1236006602832072704,<USER> из банов тебе толкьо шихек светит🤩,negative,positive,зависимость от внешнего контекста
1404,1249350239926005763,<USER> это при том что вам резик4 не сильно нравится.,negative,positive,отрицание
1992,1317919208257224705,"<USER> если я закажу тебе гроб, то ты будешь счастлив?????",negative,positive,нестандартная орфография
1752,1331292176152670212,я уверена они получат эту награду 😭👊,negative,positive,смешанная тональность
1590,1238779700455112709,<USER> чё сегодня у все б@б настроение такое😬,negative,positive,зависимость от внешнего контекста
2318,1307613056743206912,"все там кого-то отмечают, аж как-то не по себе просто я лохушка да и у меня такого не было, ахахаха",negative,positive,отрицание
1625,1262837565511565314,бля аххпхаххпх <URL>,negative,positive,сленг и экспрессивная лексика
1317,1282297617737756673,"<USER> поглядите ка, еще кобенится",negative,positive,зависимость от внешнего контекста
1030,1304430867666931712,<USER> это очень страшно))) что это за страна? сша)),negative,positive,ирония или сарказм
1602,1280607258703998980,в любом случае мы все психи,negative,positive,неоднозначность или спорная разметка
380,1263788791732584448,<USER> у него как раз служба закончилась.,neutral,negative,зависимость от внешнего контекста
985,1269365370554630150,<USER> да я тебе уже и так проспойлерила все что только можно так что сильно жопу не готовь,neutral,negative,отрицание
852,1295335171307249664,моя закрытка <USER> приглашаю 💆🏿‍♀️,neutral,negative,зависимость от внешнего контекста
1725,1272285927327531008,"когда-нибудь я перестану мониторить просмотры сторис в инсте и ждать там своего краша , но не сейчас...",neutral,negative,отрицание
1235,1326901847165169671,я устала,neutral,negative,недостаточная информация
2102,1321168950810550288,надеюсь ухо не отвалится,neutral,negative,отрицание
1279,1306652611454676993,пишу сочинение по обществу сравнила экономику и иисуса,neutral,negative,неоднозначность или спорная разметка
2640,1318270162454368259,"<USER> это с 2018 года, раньше было больше, особенно ориджиналов 10+ макси я начинала, писала страниц по десять и бросала",neutral,negative,зависимость от внешнего контекста
2622,1344393466349035523,<USER> блен прости я постоянно о них забываю,neutral,negative,зависимость от внешнего контекста
82,1325503336179769345,теперь у меня запрет на использование телефона по причине глаукома <URL>,neutral,negative,зависимость от внешнего контекста
793,1286165424514543616,<USER> <USER> <USER> надеюсь за это платят,neutral,positive,нестандартная орфография
18,1335474555725508608,"<USER> как можно было выходить за муж за человека, не глянув как его зовут в твитере до свадьбы",neutral,positive,отрицание
1745,1322394748733300737,"королева драмы просто (ну после цинцю, естественно) <URL>",neutral,positive,зависимость от внешнего контекста
361,1330066256561639425,<USER> <USER> что ж сразу бедный? может ему нравится?),neutral,positive,нестандартная орфография
1937,1291286615185399809,"мне посоветовали клип троя сивана на песню ""heaven"" иду смотреть!!!!",neutral,positive,нестандартная орфография
647,1292129527699771393,"скупила 5 пиздатых томов ат и просто хочу ещё,но понимаю, что не увезу.",neutral,positive,отрицание
517,1280202470615064577,<USER> <USER> <USER> я недавно нашла седой волос у себя в брови и я даже не шучу,neutral,positive,отрицание
1097,1321721231578669057,"<USER> да-да,щас прям мы тебя и отпустили,ага",neutral,positive,ирония или сарказм
1650,1340005989521756160,<USER> благодарность игрокам?,neutral,positive,зависимость от внешнего контекста
568,1235913745123155969,я ж не прекращу это закидывать #триггер <URL>,neutral,positive,отрицание
1336,1253406299666223104,<USER> что это за новое стекло? я готова чувствовать себя живой снова,positive,negative,зависимость от внешнего контекста
2260,1337416707246329858,"чтобы не словить панику, что не могу выбрать подарок, пошла и купила себе обновки. умею решать проблемы",positive,negative,отрицание
2208,1274206469764845573,"- я позволю ей ненавидеть себя, но в итоге я спасу ей жизнь. стефан в конце 8 сезона покинул чат <URL>",positive,negative,зависимость от внешнего контекста
760,1291633500907606016,"<USER> всё сбудется, и 1 и 2😁😁😁",positive,negative,нестандартная орфография
2072,1315415754041327616,это разумеется дурацкий порыв длиной в день мб больше но что если я действительно сяду и выучу аааааа,positive,negative,нестандартная орфография
346,1315255254800371714,"вы знакомы с работами евгения винокурова? у меня нет слов, чтобы описать, какие чувства вызывает его поэзия.",positive,negative,отрицание
1256,1285217717348335618,"<USER> так бывает у меня с людьми и их запятыми, но я всё больше отношусь с пониманием😜",positive,negative,зависимость от внешнего контекста
2591,1249048120010379272,"да, я буду ретвитить все ассоциации со мной, с которых я кайфую, потому что мне невероятно тепло просто всё это перечитывать и представлять.",positive,negative,неоднозначность или спорная разметка
182,1281290225583566850,"скучаю каждый день, что мы не видимся",positive,negative,отрицание
1596,1227319079364702208,"<USER> да! за родину! за отечество! (пусть оно у нас и разное, русские так-то тоже не сдаются)",positive,negative,отрицание
236,1339121343690907648,так хочеться😊 <URL>,positive,neutral,зависимость от внешнего контекста
657,1254669510793220096,"уснул в 3, просыпался посреди ночи пару раз, потом уснул в 6 и проснулся в половину десятого. класс)))",positive,neutral,ирония или сарказм
2086,1322988490225831937,"<USER> ну почему бы и нет, интересно же",positive,neutral,отрицание
399,1312095400363425793,- встретим конец света вместе - ты настоящий романтик слова которые хочет услышать каждая женщина,positive,neutral,неоднозначность или спорная разметка
1009,1333069256607535105,<USER> особенно их schawarma просто 🔥🔥🔥,positive,neutral,нестандартная орфография
210,1267000722597519361,"в последнее время мне достаточно просто подумать о имени джисон, чтобы начать улыбаться и смеяться до нехватки воздуха🥺🥰🌸",positive,neutral,неоднозначность или спорная разметка
1886,1236192712493355008,пиzдато уложил волосы <URL>,positive,neutral,зависимость от внешнего контекста
2592,1305006623987888128,<USER> полностью согласна это очень уву уву,positive,neutral,зависимость от внешнего контекста
1786,1256472516257820676,«прекрасная работа актерского состава»: депутат смакотин о фильме «шугалей» <URL>,positive,neutral,зависимость от внешнего контекста
2101,1336286552012578816,<USER> <USER> <USER> конечно да,positive,neutral,ирония или сарказм
